country,state,N,P,K,temperature,humidity,ph,rainfall,soil_type,label
India,Rajasthan,92,49,45,25.71,82.39,5.97,204.85,Alluvial,Rice
India,Karnataka,82,44,45,23.05,80.84,5.64,183.77,Alluvial,Rice
India,Tamil Nadu,80,42,36,20.74,84.84,5.9,231.84,Alluvial,Rice
India,Maharashtra,87,41,38,23.06,81.12,6.52,192.32,Alluvial,Rice
India,Punjab,89,46,36,24.01,83.5,5.67,221.65,Alluvial,Rice
India,Andhra Pradesh,80,42,41,21.23,84.2,6.09,227.45,Alluvial,Rice
India,Punjab,97,42,39,21.86,81.07,6.83,212.56,Alluvial,Rice
India,Kerala,94,35,36,24.61,82.74,6.77,195.25,Alluvial,Rice
India,Maharashtra,85,48,39,21.51,83.65,5.85,192.73,Alluvial,Rice
India,Maharashtra,76,36,36,20.72,83.16,5.79,224.97,Alluvial,Rice
India,Gujarat,79,39,38,24.24,82.96,6.49,182.31,Alluvial,Rice
India,Karnataka,76,45,43,23.97,84.25,6.8,192.13,Alluvial,Rice
India,Punjab,82,41,37,20.73,81.91,6.33,216.31,Alluvial,Rice
India,Kerala,70,35,36,24.12,82.27,6.67,210.5,Alluvial,Rice
India,Rajasthan,81,50,36,24.81,80.68,5.79,186.55,Alluvial,Rice
India,Andhra Pradesh,73,47,38,25.8,82.55,5.97,213.18,Alluvial,Rice
India,Karnataka,76,36,45,24.58,82.13,6.77,247.76,Alluvial,Rice
India,Karnataka,78,50,45,22.91,81.48,6.13,185.52,Alluvial,Rice
India,Rajasthan,93,49,38,24.13,84.43,5.74,224.68,Alluvial,Rice
India,Tamil Nadu,73,36,43,25.22,82.6,5.84,180.52,Alluvial,Rice
India,Tamil Nadu,87,37,39,26.27,80.31,6.63,214.83,Alluvial,Rice
India,Karnataka,94,50,44,22.78,81.87,6.2,246.22,Alluvial,Rice
India,Rajasthan,89,39,41,21.77,82.1,6.17,188.65,Alluvial,Rice
India,Maharashtra,92,45,42,22.07,81.75,6.19,186.43,Alluvial,Rice
India,Haryana,88,49,42,21.06,80.52,5.63,186.38,Alluvial,Rice
India,Gujarat,86,39,43,26.94,83.47,6.35,192.57,Alluvial,Rice
India,Karnataka,71,50,38,26.86,80.06,6.7,232.5,Alluvial,Rice
India,Haryana,97,48,36,24.74,81.3,6.37,223.25,Alluvial,Rice
India,Haryana,93,37,45,22.19,84.14,5.5,229.09,Alluvial,Rice
India,Punjab,94,47,36,24.46,81.14,6.96,232.08,Alluvial,Rice
India,Uttar Pradesh,94,49,42,21.04,80.81,6.7,242.58,Alluvial,Rice
India,Maharashtra,77,43,35,26.52,82.98,6.49,190.35,Alluvial,Rice
India,Kerala,75,40,39,24.79,81.06,6.02,221.93,Alluvial,Rice
India,Haryana,104,43,36,24.33,83.08,5.59,213.86,Alluvial,Rice
India,Maharashtra,91,36,39,21.8,84.18,6.42,239.85,Alluvial,Rice
India,Rajasthan,82,49,38,21.28,80.7,6.08,191.59,Alluvial,Rice
India,Andhra Pradesh,94,39,45,25.42,84.63,6.66,193.58,Alluvial,Rice
India,Uttar Pradesh,94,45,38,23.29,84.73,6.5,208.09,Alluvial,Rice
India,Haryana,89,42,42,26.83,84.62,5.68,222.75,Alluvial,Rice
India,West Bengal,98,40,35,26.99,83.8,6.06,227.98,Alluvial,Rice
India,Maharashtra,93,44,39,25.51,81.56,6.84,216.55,Alluvial,Rice
India,Haryana,104,36,35,21.58,80.46,6.66,187.52,Alluvial,Rice
India,Rajasthan,86,45,39,25.65,81.9,6.86,224.55,Alluvial,Rice
India,Telangana,94,41,43,26.41,83.71,6.65,183.27,Alluvial,Rice
India,Tamil Nadu,72,48,42,26.7,82.19,5.68,181.83,Alluvial,Rice
India,Gujarat,77,39,44,21.42,82.55,5.74,249.69,Alluvial,Rice
India,Telangana,75,46,38,22.29,81.69,6.51,242.43,Alluvial,Rice
India,Haryana,95,38,40,26.21,83.0,5.96,240.52,Alluvial,Rice
India,Rajasthan,72,49,43,23.54,84.87,6.58,188.75,Alluvial,Rice
India,Punjab,95,44,38,22.83,80.17,6.45,248.08,Alluvial,Rice
India,Gujarat,70,38,37,26.83,81.93,6.13,233.76,Alluvial,Rice
India,Uttar Pradesh,83,43,37,21.42,82.14,6.34,198.65,Alluvial,Rice
India,Tamil Nadu,81,45,43,26.5,81.64,5.82,238.76,Alluvial,Rice
India,Telangana,24,77,45,34.03,76.85,4.68,111.63,Black,Maize
India,Tamil Nadu,52,45,27,23.47,58.37,7.78,298.78,Desert,Maize
India,Maharashtra,100,29,72,20.31,33.99,6.56,138.92,Red,Maize
India,Andhra Pradesh,91,46,58,29.75,63.63,7.33,130.92,Red,Maize
India,Haryana,61,77,37,28.47,59.84,8.39,76.5,Black,Maize
India,Tamil Nadu,101,38,78,24.64,69.33,5.07,209.98,Desert,Maize
India,Tamil Nadu,50,74,77,16.57,43.64,7.46,69.43,Clayey,Maize
India,West Bengal,44,27,16,18.7,67.68,6.56,238.81,Clayey,Maize
India,Haryana,49,72,50,33.23,49.24,6.85,90.87,Loamy,Maize
India,West Bengal,52,38,77,23.91,31.58,7.48,69.85,Clayey,Maize
India,Tamil Nadu,35,67,30,25.76,31.76,6.17,60.45,Desert,Maize
India,Tamil Nadu,26,49,29,26.51,56.68,5.47,140.42,Clayey,Maize
India,Andhra Pradesh,98,13,57,32.18,80.7,5.7,159.68,Black,Maize
India,Punjab,120,39,45,23.3,88.16,7.33,95.04,Desert,Maize
India,Haryana,65,17,78,21.19,80.43,5.19,244.53,Desert,Maize
India,Maharashtra,98,59,11,29.23,70.13,7.15,194.83,Clayey,Maize
India,Telangana,21,74,51,24.88,88.83,4.57,80.96,Loamy,Maize
India,Gujarat,46,47,18,30.54,71.3,7.1,141.62,Loamy,Maize
India,Kerala,66,20,50,30.2,67.73,6.26,40.14,Loamy,Maize
India,Telangana,85,30,15,23.88,52.32,7.45,97.45,Loamy,Maize
India,Telangana,33,74,57,21.11,69.88,5.44,129.12,Loamy,Maize
India,Karnataka,87,22,27,24.61,52.55,7.25,208.42,Laterite,Maize
India,Uttar Pradesh,65,59,14,34.09,55.12,6.86,154.95,Loamy,Maize
India,Karnataka,31,21,54,24.16,51.15,8.19,106.53,Desert,Maize
India,Telangana,80,47,30,27.2,88.37,6.39,152.83,Red,Maize
India,Telangana,104,57,20,19.54,47.34,5.23,206.73,Desert,Maize
India,Gujarat,31,11,80,21.21,33.92,8.38,169.98,Clayey,Maize
India,Karnataka,106,22,28,15.73,63.78,6.93,231.36,Alluvial,Maize
India,Tamil Nadu,78,59,49,22.5,82.23,7.45,73.97,Laterite,Maize
India,Maharashtra,71,75,57,19.64,73.23,6.6,57.78,Loamy,Maize
India,Gujarat,69,36,72,15.97,59.22,6.86,249.14,Desert,Maize
India,Rajasthan,36,44,16,31.99,34.64,8.34,113.08,Desert,Maize
India,Haryana,56,35,26,23.74,47.87,6.81,99.65,Loamy,Maize
India,Rajasthan,54,59,57,32.08,60.17,5.42,166.65,Laterite,Maize
India,Tamil Nadu,27,52,19,16.57,69.01,6.91,228.73,Red,Maize
India,West Bengal,105,36,75,23.17,88.68,5.16,274.55,Laterite,Maize
India,West Bengal,111,70,51,23.89,49.07,5.62,232.95,Alluvial,Maize
India,Telangana,42,80,71,30.78,42.93,8.01,215.9,Laterite,Maize
India,Uttar Pradesh,116,16,24,26.68,55.01,7.29,216.98,Desert,Maize
India,Rajasthan,72,17,72,23.79,72.48,6.08,131.55,Clayey,Maize
India,Karnataka,24,36,71,25.43,40.64,7.81,136.98,Desert,Maize
India,Kerala,20,53,12,20.15,49.23,6.0,91.84,Loamy,Maize
India,Haryana,22,11,35,28.31,54.46,8.06,108.8,Laterite,Maize
India,Andhra Pradesh,111,64,52,18.73,54.3,5.29,167.56,Loamy,Maize
India,Gujarat,119,11,24,18.72,73.64,7.89,275.42,Clayey,Maize
India,Tamil Nadu,94,58,20,28.96,58.63,5.62,181.1,Loamy,Maize
India,Kerala,113,38,46,32.29,57.76,7.13,99.35,Loamy,Maize
India,Rajasthan,87,69,76,26.79,37.99,6.02,270.56,Red,Maize
India,Telangana,46,61,13,32.46,57.22,8.01,51.7,Clayey,Maize
India,Punjab,43,21,28,24.09,86.95,5.24,159.67,Desert,Maize
India,Kerala,24,37,33,33.36,47.78,8.37,276.15,Black,Maize
India,Punjab,90,53,30,19.81,41.23,8.4,202.55,Loamy,Maize
India,Rajasthan,71,73,24,20.0,30.03,8.4,288.96,Desert,Maize
India,Telangana,58,11,26,32.04,76.38,5.93,40.1,Clayey,Maize
India,Telangana,73,43,26,25.87,59.62,7.38,173.22,Desert,Maize
India,Uttar Pradesh,84,68,56,34.39,70.71,7.99,92.84,Desert,Maize
India,Uttar Pradesh,46,38,66,20.23,64.57,6.5,61.38,Laterite,Maize
India,Punjab,101,30,76,27.05,39.01,6.13,178.69,Desert,Maize
India,Punjab,84,34,74,27.67,69.46,8.37,40.26,Red,Maize
India,Maharashtra,117,54,43,33.4,51.5,5.8,295.77,Laterite,Maize
India,Uttar Pradesh,34,36,70,17.14,34.56,4.79,258.01,Loamy,Maize
India,West Bengal,63,32,71,16.41,70.06,6.69,233.56,Laterite,Maize
India,Uttar Pradesh,48,26,10,24.14,46.72,7.15,41.34,Loamy,Maize
India,Telangana,83,77,62,28.65,64.51,5.59,210.25,Loamy,Maize
India,Karnataka,119,49,50,17.59,62.39,6.22,207.64,Black,Maize
India,Uttar Pradesh,85,14,63,23.78,62.55,6.61,178.76,Clayey,Maize
India,Uttar Pradesh,110,54,55,20.83,62.82,8.24,110.82,Alluvial,Maize
India,Andhra Pradesh,97,69,19,28.97,55.06,8.47,83.99,Black,Maize
India,Andhra Pradesh,101,41,72,26.74,48.77,5.93,256.23,Red,Maize
India,Karnataka,75,62,30,29.69,67.73,7.09,241.71,Loamy,Maize
India,Karnataka,61,61,64,33.77,31.64,5.91,48.06,Laterite,Maize
India,Karnataka,102,30,20,27.03,69.81,8.34,100.77,Clayey,Maize
India,Kerala,96,61,10,21.19,61.73,5.96,92.39,Alluvial,Maize
India,Haryana,102,34,24,24.73,34.55,5.75,228.73,Clayey,Maize
India,Rajasthan,104,18,77,18.06,52.81,6.16,158.26,Alluvial,Maize
India,Telangana,79,64,62,27.67,38.6,5.94,135.03,Desert,Maize
India,Tamil Nadu,109,44,13,16.7,52.67,4.91,220.3,Black,Maize
India,Uttar Pradesh,23,77,80,19.34,80.35,6.56,213.34,Black,Maize
India,Uttar Pradesh,20,41,75,19.66,76.4,5.67,141.77,Desert,Maize
India,Punjab,116,61,79,20.51,31.1,6.88,173.26,Black,Maize
India,Punjab,76,66,53,15.58,86.88,7.89,112.31,Laterite,Maize
India,Haryana,119,44,38,33.85,52.43,6.67,119.88,Desert,Maize
India,Kerala,117,56,71,18.56,58.87,5.37,115.88,Laterite,Maize
India,Gujarat,78,58,36,20.37,76.96,5.56,114.6,Loamy,Maize
India,Rajasthan,44,10,57,19.44,68.67,6.14,257.3,Alluvial,Maize
India,Haryana,99,78,33,25.85,42.32,5.48,244.88,Black,Maize
India,Haryana,75,69,47,26.97,54.64,6.43,145.89,Desert,Maize
India,West Bengal,58,26,14,22.41,84.54,5.47,183.92,Red,Maize
India,Maharashtra,56,75,69,16.74,50.04,6.66,95.36,Desert,Maize
India,Haryana,95,33,34,31.77,62.56,5.73,90.25,Black,Maize
India,Uttar Pradesh,116,40,67,24.55,46.96,6.03,226.94,Loamy,Maize
India,West Bengal,110,53,49,21.46,80.13,5.71,298.2,Laterite,Maize
India,Andhra Pradesh,115,76,80,30.81,55.3,7.43,62.96,Loamy,Maize
India,Kerala,109,59,25,21.63,40.58,5.03,234.04,Clayey,Maize
India,West Bengal,107,48,27,21.28,49.14,7.78,95.85,Desert,Maize
India,Andhra Pradesh,103,62,60,20.38,82.15,5.42,209.96,Alluvial,Maize
India,Tamil Nadu,23,19,76,22.8,42.34,5.7,179.05,Black,Maize
India,Uttar Pradesh,23,35,48,22.62,84.24,5.08,289.36,Loamy,Maize
India,Tamil Nadu,119,10,22,31.6,76.19,6.27,106.31,Loamy,Maize
India,West Bengal,103,25,26,23.32,89.32,7.71,220.44,Loamy,Maize
India,Kerala,100,22,61,22.78,83.87,7.54,40.65,Desert,Maize
India,Rajasthan,107,72,21,15.0,67.97,5.92,57.33,Loamy,Maize
India,Maharashtra,92,21,62,18.89,77.02,5.55,52.83,Black,Maize
India,Punjab,88,63,49,26.76,71.51,6.9,207.47,Desert,Maize
India,Rajasthan,103,48,68,18.97,79.08,7.82,201.03,Loamy,Maize
India,Gujarat,99,56,80,25.76,61.16,6.73,218.4,Desert,Maize
India,Rajasthan,84,44,54,15.82,62.04,8.48,102.4,Red,Maize
India,Kerala,75,63,56,18.24,50.84,5.99,274.98,Alluvial,Maize
India,Gujarat,42,21,44,33.25,44.72,7.96,140.16,Loamy,Maize
India,Kerala,54,49,24,22.86,60.84,4.99,220.36,Alluvial,Maize
India,Karnataka,62,18,17,22.73,82.26,7.33,213.98,Laterite,Maize
India,Punjab,65,60,58,19.27,47.98,7.17,221.84,Laterite,Maize
India,Karnataka,109,25,17,34.56,83.47,6.06,91.88,Clayey,Maize
India,Gujarat,42,74,76,33.27,64.52,5.15,104.61,Red,Maize
India,Kerala,112,77,71,25.81,55.48,4.93,166.55,Alluvial,Maize
India,Gujarat,36,40,46,21.22,31.7,6.26,277.86,Desert,Maize
India,Punjab,31,27,68,30.82,58.72,5.95,73.16,Alluvial,Maize
India,Tamil Nadu,43,60,47,28.78,51.19,5.98,60.47,Red,Maize
India,West Bengal,93,79,46,24.44,73.58,4.61,47.93,Loamy,Maize
India,Telangana,93,41,54,32.82,73.07,8.01,96.94,Laterite,Maize
India,Karnataka,45,20,75,24.27,87.47,5.59,86.32,Loamy,Maize
India,Rajasthan,103,37,77,29.85,43.36,5.47,57.37,Laterite,Maize
India,Punjab,38,44,56,25.14,51.69,8.12,151.76,Alluvial,Maize
India,Uttar Pradesh,119,15,48,16.5,54.28,7.65,200.21,Desert,Maize
India,Gujarat,74,60,69,26.11,81.75,6.61,279.96,Loamy,Maize
India,Punjab,44,46,21,16.64,46.17,7.09,125.37,Red,Chickpea
India,Maharashtra,96,67,56,22.71,78.06,8.2,280.78,Loamy,Chickpea
India,Haryana,64,55,48,21.39,51.34,4.95,192.95,Clayey,Chickpea
India,Kerala,26,39,10,31.44,50.82,4.71,83.86,Black,Chickpea
India,Maharashtra,86,65,22,21.88,80.26,8.07,131.45,Loamy,Chickpea
India,Haryana,63,55,43,17.69,36.86,7.72,140.78,Laterite,Chickpea
India,Haryana,74,41,10,24.1,65.93,6.63,105.35,Black,Chickpea
India,Telangana,41,26,35,24.73,39.51,5.19,58.1,Red,Chickpea
India,Uttar Pradesh,68,65,57,25.24,54.1,7.28,72.51,Alluvial,Chickpea
India,West Bengal,28,13,73,24.34,78.65,5.97,158.69,Clayey,Chickpea
India,Maharashtra,106,57,32,21.02,42.41,6.41,58.1,Alluvial,Chickpea
India,Gujarat,24,23,56,23.22,75.24,4.95,178.06,Clayey,Chickpea
India,Andhra Pradesh,92,24,59,25.51,89.14,8.26,217.13,Red,Chickpea
India,Andhra Pradesh,54,75,23,17.35,56.35,7.35,103.15,Red,Chickpea
India,Uttar Pradesh,72,16,14,29.22,34.57,6.36,74.42,Laterite,Chickpea
India,Maharashtra,63,58,70,19.22,40.84,7.53,197.46,Clayey,Chickpea
India,Karnataka,74,45,38,19.66,78.99,8.29,141.82,Black,Chickpea
India,Uttar Pradesh,26,44,24,24.25,69.55,5.97,215.27,Loamy,Chickpea
India,Andhra Pradesh,86,10,48,30.51,85.15,7.67,284.47,Alluvial,Chickpea
India,Tamil Nadu,48,33,36,26.77,88.41,7.33,248.31,Clayey,Chickpea
India,Kerala,97,10,65,18.58,86.05,5.52,156.18,Alluvial,Chickpea
India,Kerala,55,60,50,16.0,73.54,4.99,204.0,Clayey,Chickpea
India,Telangana,103,76,55,30.72,69.65,7.78,149.02,Red,Chickpea
India,Uttar Pradesh,115,69,80,18.12,89.62,7.25,167.71,Clayey,Chickpea
India,Rajasthan,103,25,21,22.95,65.6,6.46,192.05,Red,Chickpea
India,Tamil Nadu,79,50,52,24.03,73.54,5.17,130.85,Laterite,Chickpea
India,Kerala,120,26,75,18.27,62.3,5.27,49.15,Red,Chickpea
India,Haryana,43,58,36,20.86,56.62,5.46,153.46,Clayey,Chickpea
India,Andhra Pradesh,54,73,67,17.4,52.06,5.63,152.93,Red,Chickpea
India,Rajasthan,26,38,17,32.03,63.6,7.74,216.46,Laterite,Chickpea
India,Rajasthan,119,61,15,29.89,88.04,5.41,68.46,Loamy,Chickpea
India,Telangana,40,64,57,16.9,60.91,4.7,261.15,Red,Chickpea
India,Kerala,52,79,64,27.88,86.35,7.2,103.62,Red,Chickpea
India,Rajasthan,113,34,12,31.16,71.83,6.68,61.12,Loamy,Chickpea
India,Maharashtra,119,50,43,24.54,31.74,5.82,58.13,Laterite,Chickpea
India,Uttar Pradesh,116,74,42,34.79,88.42,8.07,220.47,Clayey,Chickpea
India,Tamil Nadu,59,60,10,20.74,51.54,6.87,162.96,Black,Chickpea
India,Uttar Pradesh,101,78,60,27.01,87.32,6.25,249.75,Black,Chickpea
India,Rajasthan,58,56,14,19.78,67.68,5.56,86.8,Laterite,Chickpea
India,Rajasthan,58,57,27,17.89,30.43,7.4,203.46,Clayey,Chickpea
India,West Bengal,34,75,73,28.51,49.65,7.84,287.87,Alluvial,Chickpea
India,Punjab,105,60,73,21.68,39.91,8.28,180.69,Alluvial,Chickpea
India,Haryana,41,49,23,27.78,77.83,7.1,114.69,Laterite,Chickpea
India,Kerala,113,43,40,22.78,55.94,5.39,267.99,Red,Chickpea
India,Punjab,97,69,52,24.5,71.04,6.87,156.36,Desert,Chickpea
India,Maharashtra,25,40,54,28.24,40.88,7.97,50.88,Black,Chickpea
India,Punjab,120,48,60,23.16,33.43,5.71,189.24,Clayey,Chickpea
India,Uttar Pradesh,42,41,44,21.4,79.22,5.98,124.17,Clayey,Chickpea
India,Gujarat,64,72,75,28.87,42.61,7.53,69.73,Clayey,Chickpea
India,Haryana,32,28,29,32.93,41.45,6.23,138.38,Loamy,Chickpea
India,Punjab,56,52,35,16.26,69.73,6.72,257.02,Black,Chickpea
India,Telangana,58,54,75,16.74,75.57,5.76,232.79,Red,Chickpea
India,Maharashtra,116,14,61,30.78,41.22,6.35,42.79,Laterite,Chickpea
India,Uttar Pradesh,47,49,44,29.36,80.4,8.02,160.13,Desert,Chickpea
India,Andhra Pradesh,64,41,69,22.59,30.71,8.18,298.94,Alluvial,Chickpea
India,Uttar Pradesh,79,66,24,21.19,67.6,4.55,113.08,Clayey,Chickpea
India,Kerala,113,65,69,17.18,77.26,5.41,86.15,Clayey,Chickpea
India,Punjab,96,16,77,22.54,88.82,7.11,166.96,Laterite,Chickpea
India,Telangana,67,38,15,22.81,32.67,6.67,213.42,Desert,Chickpea
India,West Bengal,74,58,54,17.14,83.88,7.35,96.91,Red,Chickpea
India,Telangana,100,69,57,32.94,51.54,5.48,95.13,Loamy,Chickpea
India,Gujarat,27,73,28,33.81,56.04,6.21,261.21,Alluvial,Chickpea
India,Kerala,115,11,70,17.51,41.29,7.18,295.77,Red,Chickpea
India,Andhra Pradesh,40,49,57,28.19,71.09,7.67,60.48,Desert,Chickpea
India,West Bengal,53,22,54,29.33,55.65,4.75,268.35,Black,Chickpea
India,Uttar Pradesh,41,38,41,25.95,46.07,7.21,174.11,Red,Chickpea
India,Kerala,101,78,10,19.0,55.04,6.15,243.43,Alluvial,Chickpea
India,Telangana,58,74,39,19.12,66.3,5.12,258.35,Laterite,Chickpea
India,Haryana,83,52,54,34.94,73.62,5.99,270.55,Red,Chickpea
India,Andhra Pradesh,51,48,59,33.96,62.45,5.24,88.55,Red,Chickpea
India,Rajasthan,87,77,51,24.58,67.71,8.26,123.22,Desert,Chickpea
India,Karnataka,69,60,22,29.25,52.89,7.31,288.59,Laterite,Chickpea
India,West Bengal,92,75,50,22.67,33.84,7.85,294.18,Laterite,Chickpea
India,Kerala,38,21,56,20.4,89.99,7.22,161.8,Red,Chickpea
India,Telangana,42,77,10,20.42,69.49,7.28,256.63,Loamy,Chickpea
India,Telangana,85,57,21,31.37,53.72,5.26,122.73,Black,Chickpea
India,Telangana,22,40,12,23.8,84.66,4.64,223.57,Alluvial,Chickpea
India,Andhra Pradesh,45,64,21,32.84,39.52,7.06,194.26,Black,Chickpea
India,Andhra Pradesh,103,36,71,33.62,48.74,4.74,126.22,Desert,Chickpea
India,Andhra Pradesh,35,80,46,26.25,89.27,6.63,95.55,Desert,Chickpea
India,Gujarat,21,40,53,28.77,87.92,6.81,58.04,Red,Chickpea
India,Andhra Pradesh,104,61,37,24.55,85.21,7.61,139.28,Loamy,Chickpea
India,Rajasthan,59,40,66,25.53,88.26,6.74,72.82,Red,Chickpea
India,Karnataka,45,45,72,33.67,41.09,7.27,247.42,Red,Chickpea
India,Maharashtra,23,57,21,25.3,34.66,7.77,231.55,Clayey,Chickpea
India,Telangana,113,14,56,23.03,82.89,7.98,75.1,Desert,Chickpea
India,Rajasthan,112,10,76,20.83,69.15,7.93,185.45,Loamy,Chickpea
India,West Bengal,109,19,65,18.71,69.86,6.08,151.84,Red,Chickpea
India,Tamil Nadu,109,12,80,17.4,59.58,7.33,293.07,Black,Chickpea
India,Telangana,62,23,65,29.38,78.03,4.81,242.32,Laterite,Chickpea
India,Karnataka,86,49,47,32.88,44.15,4.69,98.48,Loamy,Chickpea
India,Haryana,78,46,27,21.07,59.07,8.38,120.39,Laterite,Chickpea
India,Rajasthan,74,25,52,33.72,51.07,5.53,116.2,Clayey,Chickpea
India,Andhra Pradesh,76,80,59,22.94,85.88,8.45,299.98,Clayey,Chickpea
India,Tamil Nadu,35,12,24,21.22,45.72,7.44,251.17,Laterite,Chickpea
